yr_built,bridge_condition,avg_daily_traffic,lat,long,county,carries,total_improve_cost_thousands,inspection_mo,inspection_yr,owner,responsibility,vehicles
1958,Fair,128182,39.22499847,-76.66166687,Anne Arundel County,IS 695,NA,07,16,State Highway Agency,State Highway Agency,128182 vehicles
1951,Fair,128182,39.22333145,-76.65833282,Anne Arundel County,IS 695,158,02,16,State Highway Agency,State Highway Agency,128182 vehicles
1957,Fair,92102,39.20166779,-76.63166809,Anne Arundel County,IS 695 IL,1168,11,15,State Highway Agency,State Highway Agency,92102 vehicles
1957,Fair,92102,39.20166779,-76.63166809,Anne Arundel County,IS 695 OL,NA,11,15,State Highway Agency,State Highway Agency,92102 vehicles
1937,Good,31511,39.18166733,-76.61333466,Anne Arundel County,MD 2,NA,06,15,State Highway Agency,State Highway Agency,31511 vehicles
1936,Fair,23961,39.14500046,-76.60666656,Anne Arundel County,MD 2,NA,11,15,State Highway Agency,State Highway Agency,23961 vehicles
1953,Good,20393,39.01944351,-76.5027771,Anne Arundel County,MD 2 RAMP 8,419,03,16,State Highway Agency,State Highway Agency,20393 vehicles
1953,Fair,2833,39.01944351,-76.5027771,Anne Arundel County,US 50  RAMP 6,388,01,16,State Highway Agency,State Highway Agency,2833 vehicles
1983,Fair,53221,38.95166779,-76.55500031,Anne Arundel County,MD 2,13504,10,15,State Highway Agency,State Highway Agency,53221 vehicles
1949,Fair,13660,39.2228472222222,-76.65250555555555,Anne Arundel County,MD 168,222,10,16,State Highway Agency,State Highway Agency,13660 vehicles
1949,Fair,2892,39.2173638888889,-76.6635111111111,Anne Arundel County,HAMMONDS FERRY RD,220,03,16,State Highway Agency,State Highway Agency,2892 vehicles
1949,Fair,9020,39.2122555555556,-76.67831111111111,Anne Arundel County,WEST NURSERY ROAD,266,05,15,State Highway Agency,State Highway Agency,9020 vehicles
1990,Good,7530,39.2048277777778,-76.689375,Anne Arundel County,WINTERSON ROAD,NA,06,15,State Highway Agency,State Highway Agency,7530 vehicles
1990,Good,10897,39.20166779,-76.69166565,Anne Arundel County,MD 295 SB RAMP B,NA,08,15,State Highway Agency,State Highway Agency,10897 vehicles
1950,Fair,88882,39.20000076,-76.70555878,Anne Arundel County,MD 295 NBR,NA,12,15,State Highway Agency,State Highway Agency,88882 vehicles
1950,Fair,88882,39.20000076,-76.70555878,Anne Arundel County,MD 295 SB,NA,12,15,State Highway Agency,State Highway Agency,88882 vehicles
