Number,Measurements at 3+ time points?,Author,Study Title,Participants (training status),N,Age,Sex,Program Label,Program Details,Length (weeks),Intensity Closest to 1RM test,Volume Equated?,Issues,outcome_type,post,pre,sd
2,Yes,Kramer,"Effects of Single vs. Multiple Sets of Weight Training: Impact of Volume, Intensity, and Variation",Moderately trained (at least 1x bodyweight squat with good form),14,20.3+/-1.9,M,NP,"3x10RM Monday, 3x10RM -10% Friday",15,10RM,Higher (volume load),Also single set non-periodized group (excluded from analysis),lbm,67.6,66.5,7.5
2,Yes,Kramer,"Effects of Single vs. Multiple Sets of Weight Training: Impact of Volume, Intensity, and Variation",Moderately trained (at least 1x bodyweight squat with good form),13,20.3+/-1.9,M,LP/BP,4-5 week blocks working from 10RM to 2-3RM loads,15,2RM,"Lower (volume load), and weeks 1, 7, and 11 were single set",Single set training to start every block with periodized group; relatively substantial pre-training strength differences (~13kg and 0.9xbw),lbm,68.9,68.9,8
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,NP,"2x12 70% (for all groups, percentage-based based on same 1rm for first 6 weeks, then adjusted based on new 1RM on week 6)",8,70.0,"Roughly (sets the same, similar average intensities)",Health effects interesting as well,lbm,65.5018,63.1015,NA
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,LP,"2x18 1at 50% to 2x8 at 85%, increasing intensity and decreasing reps each week",8,85.0,NA,NA,lbm,65.2632,63.3654,NA
9,no,Ahmadizad,"Effects of short-term nonperiodized, linear periodized, and daily undulating periodized resistance training on plasma adiponectin, lepin, and insulin resistance",Sedentary,8,23.4+/-0.6,M,DUP,"2x16 at 55%, 2x12 at 70%, and 2x8 at 85% each week",8,85.0,NA,NA,lbm,64.5816,62.6102,NA
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,26.6+/-2.2,M,NP,3x8-10RM,12,8-10RM,Roughly,Additional training day added in block 3; not technically non-periodized,lbm,66.8,68.9,4.4
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,27.6+/-2.7,M,LP/BP,"3 weeks 3x12-15RM, 3 weeks 3x8-10RM, 3 weeks 3x4-5RM, 3 weeks 3x12, 8, 4RM",12,4RM,Roughly,Estimates from bar charts via webplotdigitizer,lbm,70.3,69.5,2.4
12,Yes,Monteiro,Nonlinear Periodization Maximizes Strength Gains in Split Resistance Training Routines,Trained males (minimum 2 years of experience,9,28.1+/-2.9,M,DUP,"Alternate 3x12-15RM and 3x8-10RM 3 weeks, then 4x4-5RM and 3x12-15RM, then 3x8-10RM and 4x4-5RM, then 3x12, 8, 4RM",12,4RM,Roughly,Additional training day added in block 3; not technically non-periodized,lbm,70.5,70.3,5.3
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",10,18.6+/-1.3,F,NP,8-10RM loads,32,8-10RM,Yes,"Shoulder press was the ""other""",lbm,47.7,46.1,4
14,Yes,Kraemer,Physiological Changes with Periodized Resistance Training in Women Tennis Players,"Female tennis players ""not currently involved in resistance training""",9,19.2+/-1.1,F,DUP,"4-6RM Monday, 8-10RM Wednesday, 12-15RM Friday",32,4-6RM,Yes,"Big advantage of periodized initially, decreasing over time",lbm,49.8,46.5,4.9
26,No,Schiotz,"The Short-Term Effects of Periodized and Constant-Intensity Training on Body Composition, Strength, and Performance",ROTC physical conditioning experience,8,21.2+/-1.8,M,NP,4x6 the whole time,10,6RM,"Yes, roughly",Also doing ROTC stuff,lbm,67.5,67.2,3
26,No,Schiotz,"The Short-Term Effects of Periodized and Constant-Intensity Training on Body Composition, Strength, and Performance",ROTC physical conditioning experience,6,24.1+/-1.3,M,LP,https://www.dropbox.com/s/aou2h53q1nz4wlt/Screenshot%202017-06-19%2007.22.53.jpg?dl=0,10,Triples and singles (105% of initial 1RM,NA,NA,lbm,65.5,64.8,4.2
27,No,Baker,Periodization: The Effect on Strength of Manipulating Volume and Intensity,Trained (min 6 months),9,19+/-1.1,M,NP,https://www.dropbox.com/s/n9mcqp6v3zh2cnm/Screenshot%202017-06-19%2007.34.09.jpg?dl=0,12,6RM,"Yes, roughly",NA,lbm,73.57,71.26,5.58
